14/06/2012,HE00573,HE00573-1,98,7:54:00 AM,n_a,1,3,0,13,2,3,0,13,2,8:04:00 AM,1,No,not flagged,98,31/07/2012
14/06/2012,HE00574,HE00574-1,98,8:50:00 AM,n_a,1,3,0,13,2,3,0,13,2,9:00:00 AM,2,No,,98,31/07/2012
13/06/2012,HE00575,HE00575-1,98,10:00:00 AM,n_a,1,1,0,15,2,1,0,15,2,10:10:00 AM,1,No,1 RESQ,98,31/07/2012
13/06/2012,HE00576,HE00576-1,98,9:17:00 AM,n_a,1,1,1,14,2,1,1,14,2,9:27:00 AM,1,No,,98,31/07/2012
14/06/2012,HE00591,HE00591-1,69,5:04:00 AM,n_a,1,0,0,10,2,1,0,10,2,5:14:00 AM,0,Yes,Wind code is 0-1.,69,31/07/2012
13/06/2012,HE00592,HE00592-1,69,7:05:00 AM,n_a,1,0,0,12,2,0,0,12,2,7:15:00 AM,0,Yes,,69,31/07/2012
13/06/2012,HE00593,HE00593-1,69,9:47:00 AM,n_a,1,0,0,15,2,1,0,15,2,9:57:00 AM,0,Yes,No flag left at PC site.  Wind code is 0-1.  UNKN woodpecker (begging nest) heard at end of PC.,69,31/07/2012
14/06/2012,HE00594,HE00594-1,69,6:49:00 AM,n_a,1,0,0,13,2,1,0,13,2,6:59:00 AM,0,Yes,Wind code is 0-1 (gusts to 2).,69,31/07/2012
13/06/2012,HE00595,HE00595-1,69,8:35:00 AM,n_a,1,0,0,13,2,0,0,13,2,8:45:00 AM,0,Yes,No flag left at PC site,69,31/07/2012
23/06/2012,HE00812,HE00812-1,65,5:55:00 AM,n_a,1,1,0,9,0,2,0,9,0,6:05:00 AM,0,No,Wind code is 1-2.,65,31/07/2012
23/06/2012,HE00827,HE00827-1,65,9:10:00 AM,n_a,1,2,0,19,0,2,0,19,0,9:20:00 AM,1,No,,65,31/07/2012
23/06/2012,HE00831,HE00831-1,98,4:58:00 AM,n_a,1,1,0,12,0,1,0,12,0,5:08:00 AM,0,No,1 RESQ,98,31/07/2012
23/06/2012,HE00832,HE00832-1,65,8:00:00 AM,n_a,1,2,0,14,0,3,0,14,0,8:10:00 AM,1,No,Wind/Noise code is 2-3.,65,31/07/2012
23/06/2012,HE00840,HE00840-1,98,5:38:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:48:00 AM,0,No,COLO sing before,98,31/07/2012
23/06/2012,HE00841,HE00841-1,98,8:15:00 AM,n_a,1,3,0,16,0,3,0,16,0,8:25:00 AM,1,No,"UNCB flock before, GRAJ call after",98,31/07/2012
23/06/2012,HE00842,HE00842-1,98,7:42:00 AM,n_a,1,4,0,15,0,4,0,15,0,7:52:00 AM,2,No,Almost too windy,98,31/07/2012
23/06/2012,HE00843,HE00843-1,65,7:23:00 AM,n_a,1,2,0,12,0,2,0,12,0,7:33:00 AM,1,No,,65,31/07/2012
23/06/2012,HE00871,HE00871-1,98,6:29:00 AM,n_a,1,2,0,12,0,2,0,12,0,6:39:00 AM,1,No,1 RESQ; RUGR fly away before,98,31/07/2012
23/06/2012,HE00872,HE00872-1,98,8:56:00 AM,n_a,1,2,0,20,0,2,0,20,0,9:06:00 AM,1,No,,98,31/07/2012
23/06/2012,HE00873,HE00873-1,98,9:21:00 AM,n_a,1,3,0,19,0,3,0,19,0,9:31:00 AM,1,No,,98,31/07/2012
23/06/2012,HE00874,HE00874-1,98,6:58:00 AM,n_a,1,2,0,14,0,2,0,14,0,7:08:00 AM,0,No,,98,31/07/2012
23/06/2012,HE00881,HE00881-1,65,5:11:00 AM,n_a,1,1,0,12,0,1,0,12,0,5:21:00 AM,0,No,PUFI heard after PC w/in 50m.  YRWA after PC w/in 50m,65,31/07/2012
23/06/2012,HE00882,HE00882-1,65,6:28:00 AM,n_a,1,1,0,11,0,1,0,11,0,6:38:00 AM,0,No,,65,31/07/2012
23/06/2012,HE00883,HE00883-1,65,8:28:00 AM,n_a,1,2,0,17,0,3,0,17,0,8:38:00 AM,1,No,Wind code is 2-3.,65,31/07/2012
25/06/2012,HE01004,HE01004-1,69,7:03:00 AM,n_a,1,1,0,15,2,2,0,15,2,7:13:00 AM,0,Yes,No flag left at PC site.,69,31/07/2012
25/06/2012,HE01006,HE01006-1,98,5:15:00 AM,n_a,1,2,0,14,2,2,0,14,2,5:25:00 AM,0,Yes,,98,31/07/2012
25/06/2012,HE01009,HE01009-1,98,8:46:00 AM,n_a,1,2,0,17,2,2,0,17,2,8:56:00 AM,1,Yes,UNWO drum before,98,31/07/2012
25/06/2012,HE01012,HE01012-1,98,5:49:00 AM,n_a,1,2,0,14,2,2,0,14,2,5:59:00 AM,0,Yes,,98,31/07/2012
25/06/2012,HE01021,HE01021-1,65,6:36:00 AM,n_a,1,0,0,15,3,0,0,15,3,6:46:00 AM,0,Yes,,65,31/07/2012
25/06/2012,HE01023,HE01023-1,98,6:18:00 AM,n_a,1,2,1,15,2,2,1,15,2,6:28:00 AM,1,Yes,CHSP sing and SACR call after,98,31/07/2012
25/06/2012,HE01024,HE01024-1,65,6:01:00 AM,n_a,1,1,0,14,3,1,0,14,3,6:11:00 AM,0,Yes,,65,31/07/2012
25/06/2012,HE01025,HE01025-1,98,7:46:00 AM,n_a,1,2,0,16,2,2,0,16,2,7:56:00 AM,1,Yes,NOGO alarm call after,98,31/07/2012
25/06/2012,HE01026,HE01026-1,98,7:06:00 AM,n_a,1,2,0,15,2,2,0,15,2,7:16:00 AM,1,Yes,,98,31/07/2012
25/06/2012,HE01029,HE01029-1,65,9:13:00 AM,n_a,1,1,0,19,3,1,0,19,3,9:23:00 AM,0,Yes,,65,31/07/2012
25/06/2012,HE01030,HE01030-1,65,8:11:00 AM,n_a,1,2,0,16,3,2,0,16,3,8:21:00 AM,1,Yes,,65,31/07/2012
25/06/2012,HE01037,HE01037-1,69,5:44:00 AM,n_a,1,0,3,15,2,1,3,15,2,5:54:00 AM,0,Yes,No flag left at PC site.  Wind code is 0-1.,69,31/07/2012
25/06/2012,HE01044,HE01044-1,65,5:06:00 AM,n_a,1,0,0,14,3,0,0,14,3,5:16:00 AM,1,Yes,BHCO heard after PC >50m.,65,31/07/2012
25/06/2012,HE01071,HE01071-1,98,9:26:00 AM,n_a,1,1,0,18,1,1,0,18,1,9:36:00 AM,0,Yes,,98,31/07/2012
25/06/2012,HE01081,HE01081-1,65,8:47:00 AM,n_a,1,1,0,18,3,2,0,18,3,8:57:00 AM,0,Yes,,65,31/07/2012
25/06/2012,HE01082,HE01082-1,65,7:22:00 AM,n_a,1,1,0,15,3,1,0,15,3,7:32:00 AM,1,Yes,RESQ >5om.,65,31/07/2012
25/06/2012,HE01091,HE01091-1,69,6:21:00 AM,n_a,1,0,3,14,2,1,3,14,2,6:31:00 AM,0,Yes,No flag left at PC site.  Flock of SACR near site (south). Wind code is 0-1-2,69,31/07/2012
25/06/2012,HE01092,HE01092-1,69,7:46:00 AM,n_a,1,0,0,16,2,1,0,16,2,7:56:00 AM,0,Yes,No flag left at PC site. Wind code is 0-1. RESQ within 50m in time 1.,69,31/07/2012
25/06/2012,HE01093,HE01093-1,69,8:37:00 AM,n_a,1,0,0,18,2,1,0,18,2,8:47:00 AM,0,Yes,No flag left at PC site.  Wind code is 0-1.,69,31/07/2012
16/06/2012,HE01101,HE01101-1,65,8:51:00 AM,n_a,1,1,0,12,0,1,0,12,0,9:01:00 AM,0,No,,65,31/07/2012
15/06/2012,HE01104,HE01104-1,65,8:56:00 AM,n_a,1,1,0,14,0,1,0,14,0,9:06:00 AM,0,No,,65,31/07/2012
15/06/2012,HE01112,HE01112-1,65,6:26:00 AM,n_a,1,2,0,6,1,2,0,6,1,6:36:00 AM,1,No,,65,31/07/2012
15/06/2012,HE01113,HE01113-1,65,7:43:00 AM,n_a,1,1,0,9,2,1,0,9,2,7:53:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01115,HE01115-1,65,6:35:00 AM,n_a,1,0,0,6,0,0,0,6,0,6:45:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01116,HE01116-1,65,7:48:00 AM,n_a,1,0,0,8,0,0,0,8,0,7:58:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01117,HE01117-1,65,9:35:00 AM,n_a,1,2,0,17,0,2,0,17,0,9:45:00 AM,1,No,,65,31/07/2012
15/06/2012,HE01119,HE01119-1,98,7:36:00 AM,n_a,1,0,0,10,2,0,0,10,2,7:46:00 AM,0,No,,98,31/07/2012
15/06/2012,HE01120,HE01120-1,98,7:06:00 AM,n_a,1,0,3,8,2,0,3,8,2,7:16:00 AM,0,No,,98,31/07/2012
15/06/2012,HE01121,HE01121-1,65,5:23:00 AM,n_a,1,0,0,5,2,0,0,5,2,5:33:00 AM,0,No,,65,31/07/2012
15/06/2012,HE01129,HE01129-1,98,9:26:00 AM,n_a,1,0,0,13,0,0,0,13,0,9:36:00 AM,1,No,,98,31/07/2012
15/06/2012,HE01130,HE01130-1,98,8:49:00 AM,n_a,1,0,0,11,0,0,0,11,0,8:59:00 AM,0,No,RBNU callo after,98,31/07/2012
15/06/2012,HE01132,HE01132-1,98,8:08:00 AM,n_a,1,1,0,11,1,1,0,11,1,8:18:00 AM,1,No,,98,31/07/2012
15/06/2012,HE01143,HE01143-1,65,8:21:00 AM,n_a,1,1,0,10,2,1,0,10,2,8:31:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01144,HE01144-1,98,6:14:00 AM,n_a,1,0,0,5,0,0,0,5,0,6:24:00 AM,0,No,1 RESQ,98,31/07/2012
16/06/2012,HE01145,HE01145-1,98,6:48:00 AM,n_a,1,0,0,6,0,0,0,6,0,6:58:00 AM,0,No,1 RESQ,98,31/07/2012
16/06/2012,HE01146,HE01146-1,98,7:19:00 AM,n_a,1,0,0,8,1,0,0,8,1,7:29:00 AM,0,No,2 RESQ,98,31/07/2012
16/06/2012,HE01171,HE01171-1,98,4:58:00 AM,n_a,1,0,0,2,3,0,0,2,3,5:08:00 AM,1,No,,98,31/07/2012
16/06/2012,HE01172,HE01172-1,98,5:40:00 AM,n_a,1,0,0,7,0,0,0,7,0,5:50:00 AM,0,No,3 RESQ,98,31/07/2012
16/06/2012,HE01173,HE01173-1,98,8:20:00 AM,n_a,1,2,0,14,1,2,0,14,1,8:30:00 AM,1,No,1 RESQ,98,31/07/2012
16/06/2012,HE01174,HE01174-1,98,8:43:00 AM,n_a,1,2,0,18,1,2,0,18,1,8:53:00 AM,1,No,,98,31/07/2012
16/06/2012,HE01175,HE01175-1,98,9:15:00 AM,n_a,1,1,0,18,1,1,0,18,1,9:25:00 AM,0,No,1 RESQ,98,31/07/2012
16/06/2012,HE01181,HE01181-1,65,5:14:00 AM,n_a,1,0,0,1,0,0,0,1,0,5:24:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01182,HE01182-1,65,6:00:00 AM,n_a,1,0,0,2,0,0,0,2,0,6:10:00 AM,0,No,,65,31/07/2012
16/06/2012,HE01183,HE01183-1,65,7:13:00 AM,n_a,1,1,0,8,0,1,0,8,0,7:23:00 AM,0,No,,65,31/07/2012
15/06/2012,HE01184,HE01184-1,65,7:09:00 AM,n_a,1,1,0,7,2,1,0,7,2,7:19:00 AM,0,No,,65,31/07/2012
15/06/2012,HE01185,HE01185-1,65,9:30:00 AM,n_a,1,2,0,15,1,2,0,15,1,9:40:00 AM,1,No,,65,31/07/2012
29/06/2012,HE01301,HE01301-1,65,6:41:00 AM,n_a,1,0,0,13,1,0,0,13,1,6:51:00 AM,0,No,,65,31/07/2012
29/06/2012,HE01304,HE01304-1,98,8:24:00 AM,n_a,1,1,0,16,2,1,0,16,2,8:34:00 AM,1,No,,98,31/07/2012
29/06/2012,HE01315,HE01315-1,98,4:53:00 AM,n_a,1,1,0,14,0,1,0,14,0,5:03:00 AM,0,No,1 RESQ; OVEN sing after,98,31/07/2012
29/06/2012,HE01317,HE01317-1,65,4:53:00 AM,n_a,1,0,0,7,2,0,0,7,2,5:03:00 AM,0,No,,65,31/07/2012
29/06/2012,HE01326,HE01326-1,69,4:48:00 AM,n_a,1,0,0,13,0,0,0,13,0,4:58:00 AM,0,No,,69,31/07/2012
29/06/2012,HE01329,HE01329-1,98,7:11:00 AM,n_a,1,2,0,15,2,2,0,15,2,7:21:00 AM,1,No,,98,31/07/2012
29/06/2012,HE01336,HE01336-1,65,7:09:00 AM,n_a,1,0,0,14,1,0,0,14,1,7:19:00 AM,0,No,RESQ w/in 50m.,65,31/07/2012
29/06/2012,HE01337,HE01337-1,65,8:50:00 AM,n_a,1,2,0,16,2,2,0,16,2,9:00:00 AM,1,No,Wind code 2-3 with some 4.  Noise code 2-3.,65,31/07/2012
29/06/2012,HE01340,HE01340-1,98,6:24:00 AM,n_a,1,1,0,13,2,1,0,13,2,6:34:00 AM,1,No,BHVI sing after,98,31/07/2012
29/06/2012,HE01346,HE01346-1,65,5:22:00 AM,n_a,1,1,0,7,1,1,0,7,1,5:32:00 AM,0,No,,65,31/07/2012
29/06/2012,HE01347,HE01347-1,65,5:50:00 AM,n_a,1,0,0,9,1,0,0,9,1,6:00:00 AM,0,No,RESQ w/in 50m.,65,31/07/2012
29/06/2012,HE01348,HE01348-1,69,5:11:00 AM,n_a,1,0,0,13,0,0,0,13,0,5:21:00 AM,0,No,OVEN responded to CAWA playback.,69,31/07/2012
29/06/2012,HE01351,HE01351-1,65,6:15:00 AM,n_a,1,0,0,10,1,0,0,10,1,6:25:00 AM,0,No,,65,31/07/2012
29/06/2012,HE01360,HE01360-1,69,9:08:00 AM,n_a,1,1,0,15,2,3,0,15,2,9:18:00 AM,0,No,Wind code is 1-3 (gusts 4-5). Difficult to hear birds >50m because of swaying trees.,69,31/07/2012
29/06/2012,HE01371,HE01371-1,98,5:58:00 AM,n_a,1,2,0,13,1,2,0,13,1,6:08:00 AM,1,No,,98,31/07/2012
29/06/2012,HE01372,HE01372-1,98,9:11:00 AM,n_a,1,3,0,17,2,3,0,17,2,9:21:00 AM,1,No,1 RESQ,98,31/07/2012
29/06/2012,HE01381,HE01381-1,65,8:20:00 AM,n_a,1,0,0,15,2,0,0,15,2,8:30:00 AM,0,No,,65,31/07/2012
29/06/2012,HE01382,HE01382-1,65,7:46:00 AM,n_a,1,0,0,14,2,0,0,14,2,7:56:00 AM,0,No,RESQ >50m.,65,31/07/2012
29/06/2012,HE01383,HE01383-1,65,9:16:00 AM,n_a,1,3,0,17,2,4,0,17,2,9:26:00 AM,2,No,Spitting at times during survey. Wind code 3-4.,65,31/07/2012
29/06/2012,HE01391,HE01391-1,69,5:35:00 AM,n_a,1,0,0,12,0,1,0,12,0,5:45:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
29/06/2012,HE01392,HE01392-1,69,7:31:00 AM,n_a,1,0,0,14,2,1,0,14,2,7:41:00 AM,0,No,Wind code is 0-1. Can-dom MW.,69,31/07/2012
29/06/2012,HE01393,HE01393-1,69,5:59:00 AM,n_a,1,0,0,,0,0,0,,0,6:09:00 AM,0,No,Wind code is 0-1. Temperature not recorded.,69,31/07/2012
29/06/2012,HE01394,HE01394-1,69,6:45:00 AM,n_a,1,0,0,14,2,1,0,14,2,6:55:00 AM,0,No,Wind code is 0-1-2.,69,31/07/2012
29/06/2012,HE01395,HE01395-1,69,8:16:00 AM,n_a,1,0,0,15,2,1,0,15,2,8:26:00 AM,0,No,Wind code is 0-1. RESQ <50m in time 3. MW is canopy dominant.,69,31/07/2012
26/06/2012,HE01510,HE01510-1,98,9:19:00 AM,n_a,1,3,0,22,1,4,0,22,1,9:29:00 AM,1,No,,98,31/07/2012
26/06/2012,HE01518,HE01518-1,69,7:31:00 AM,n_a,1,0,0,17,2,1,0,17,2,7:41:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
26/06/2012,HE01525,HE01525-1,98,8:18:00 AM,n_a,1,1,0,18,2,1,0,18,2,8:28:00 AM,1,No,,98,31/07/2012
26/06/2012,HE01527,HE01527-1,69,5:42:00 AM,n_a,1,0,0,15,2,1,0,15,2,5:52:00 AM,0,No,,69,31/07/2012
26/06/2012,HE01530,HE01530-1,69,6:27:00 AM,n_a,1,0,0,17,2,0,0,17,2,6:37:00 AM,0,No,RESQ w/in 50m in time 1.,69,31/07/2012
26/06/2012,HE01536,HE01536-1,65,6:00:00 AM,n_a,1,1,0,17,2,1,0,17,2,6:10:00 AM,0,No,,65,31/07/2012
26/06/2012,HE01537,HE01537-1,65,6:35:00 AM,n_a,1,0,0,16,2,0,0,16,2,6:45:00 AM,0,No,CAWA outside PC area on ridge crest (>200m away).,65,31/07/2012
26/06/2012,HE01545,HE01545-1,69,8:40:00 AM,n_a,1,0,0,19,2,0,0,19,2,8:50:00 AM,0,No,,69,31/07/2012
26/06/2012,HE01546,HE01546-1,69,9:17:00 AM,n_a,1,0,0,20,1,1,0,20,1,9:27:00 AM,0,No,Wind code is 0-1 (gusts 2-3). Getting difficult to hear.,69,31/07/2012
26/06/2012,HE01547,HE01547-1,65,5:26:00 AM,n_a,1,0,0,17,2,0,0,17,2,5:36:00 AM,0,No,,65,31/07/2012
26/06/2012,HE01548,HE01548-1,65,7:21:00 AM,n_a,1,0,0,17,2,0,0,17,2,7:31:00 AM,0,No,Several CAWA heard higher up slope on walk to PC (>200m away).  One singing male CAWA heard after playback.,65,31/07/2012
26/06/2012,HE01571,HE01571-1,98,6:27:00 AM,n_a,1,0,0,16,2,0,0,16,2,6:37:00 AM,0,No,1 RESQ; GRAJ call before,98,31/07/2012
26/06/2012,HE01572,HE01572-1,98,5:35:00 AM,n_a,1,0,0,16,1,0,0,16,1,5:45:00 AM,0,No,GRAJ call after,98,31/07/2012
26/06/2012,HE01573,HE01573-1,98,8:44:00 AM,n_a,1,2,0,19,1,2,0,19,1,8:54:00 AM,1,No,,98,31/07/2012
26/06/2012,HE01574,HE01574-1,98,7:41:00 AM,n_a,1,2,0,17,2,2,0,17,2,7:51:00 AM,1,No,,98,31/07/2012
26/06/2012,HE01581,HE01581-1,65,4:47:00 AM,n_a,1,0,0,16,3,0,0,16,3,4:57:00 AM,1,No,RESQ >50m.  Noise 2-3 from helicopter nearby.,65,31/07/2012
26/06/2012,HE01582,HE01582-1,65,8:20:00 AM,n_a,1,0,0,18,1,0,0,18,1,8:30:00 AM,0,No,,65,31/07/2012
26/06/2012,HE01583,HE01583-1,65,8:56:00 AM,n_a,1,0,0,21,1,0,0,21,1,9:06:00 AM,0,No,RESQ w/in 50m.,65,31/07/2012
26/06/2012,HE01591,HE01591-1,69,8:09:00 AM,n_a,1,0,0,17,1,0,0,17,1,8:19:00 AM,0,No,RESQ w/in 50m in time 1.,69,31/07/2012
26/06/2012,HE01592,HE01592-1,69,7:00:00 AM,n_a,1,0,0,17,1,0,0,17,1,7:10:00 AM,0,No,PC between Heli_15_30 and Heli_15_18.  All of this area is SB7,69,31/07/2012
26/06/2012,HE01593,HE01593-1,69,9:53:00 AM,n_a,1,0,0,28,2,1,0,28,2,10:03:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
26/06/2012,HE01594,HE01594-1,69,5:01:00 AM,n_a,1,0,0,15,1,0,0,15,1,5:11:00 AM,0,No,,69,31/07/2012
20/06/2012,HE01803,HE01803-1,65,8:00:00 AM,n_a,1,1,0,12,2,1,0,12,2,8:10:00 AM,0,No,Noise code is 1-2.,65,31/07/2012
20/06/2012,HE01807,HE01807-1,69,5:36:00 AM,n_a,1,0,0,3,0,0,0,3,0,5:46:00 AM,0,No,1 RESQ rattling w/in 50m in time 1.  1 RESQ >50m in time 2.,69,31/07/2012
20/06/2012,HE01809,HE01809-1,69,6:09:00 AM,n_a,1,0,0,8,0,1,0,8,0,6:19:00 AM,0,No,Winde code is 0-1.  BRCR at end of PC.  Playback not functioning.  RESQ w/in 50m during time 1.,69,31/07/2012
20/06/2012,HE01815,HE01815-1,98,6:24:00 AM,n_a,1,1,0,6,0,1,0,6,0,6:34:00 AM,1,No,Moose huffing,98,31/07/2012
20/06/2012,HE01820,HE01820-1,98,8:30:00 AM,n_a,1,3,0,13,2,3,0,13,2,8:40:00 AM,2,No,,98,31/07/2012
20/06/2012,HE01821,HE01821-1,98,9:32:00 AM,n_a,1,3,0,14,2,3,0,14,2,9:42:00 AM,2,No,Female RUGR agitated by nest in Heli_18_62,98,31/07/2012
20/06/2012,HE01824,HE01824-1,65,8:42:00 AM,n_a,1,2,0,13,2,3,0,13,2,8:52:00 AM,1,No,Wind/Noise code is 2-3.,65,31/07/2012
20/06/2012,HE01829,HE01829-1,65,7:28:00 AM,n_a,1,2,0,10,1,2,0,10,1,7:38:00 AM,1,No,Noise code is 2-3.,65,31/07/2012
20/06/2012,HE01830,HE01830-1,98,7:00:00 AM,n_a,1,0,0,2,0,0,0,2,0,7:10:00 AM,0,No,,98,31/07/2012
20/06/2012,HE01831,HE01831-1,65,6:47:00 AM,n_a,1,1,0,9,0,1,0,9,0,6:57:00 AM,0,No,,65,31/07/2012
20/06/2012,HE01832,HE01832-1,65,6:02:00 AM,n_a,1,0,0,7,0,0,0,7,0,6:12:00 AM,0,No,,65,31/07/2012
20/06/2012,HE01835,HE01835-1,65,5:20:00 AM,n_a,1,0,0,8,0,0,0,8,0,5:30:00 AM,0,No,"GRAJ pair w/in 50m after PC, CHSP visual w/in 50m after PC.",65,31/07/2012
20/06/2012,HE01837,HE01837-1,65,4:42:00 AM,n_a,1,0,0,4,0,0,0,4,0,4:52:00 AM,1,No,"Noise code 2 due to heli noise. GRAJ calling after PC <50m, TEWA singing after PC >50m, and RESQ w/in 50m in time 3.",65,31/07/2012
20/06/2012,HE01851,HE01851-1,69,5:08:00 AM,n_a,1,0,0,2,0,0,0,2,0,5:18:00 AM,0,No,No flag left at PC site.,69,31/07/2012
20/06/2012,HE01871,HE01871-1,98,7:49:00 AM,n_a,1,3,0,11,2,3,0,11,2,7:59:00 AM,2,No,,98,31/07/2012
20/06/2012,HE01872,HE01872-1,98,9:10:00 AM,n_a,1,2,1,13,2,2,1,13,2,9:20:00 AM,1,No,,98,31/07/2012
20/06/2012,HE01873,HE01873-1,98,5:55:00 AM,n_a,1,0,0,5,0,0,0,5,0,6:05:00 AM,0,No,1 RESQ; RBNU call after,98,31/07/2012
20/06/2012,HE01891,HE01891-1,69,9:13:00 AM,n_a,1,0,0,15,2,1,0,15,2,9:23:00 AM,0,No,Wind code is 0-1.,69,31/07/2012
20/06/2012,HE01892,HE01892-1,69,7:40:00 AM,n_a,1,0,0,14,0,1,0,14,0,7:50:00 AM,0,No,Wind code is 0-1 (gusts to 2). Noise code is 1-2. Heli_18_22R is 250m north of Heli_18_22.  Site is BG5(FN5) transition- primarily due to SB characteristics.,69,31/07/2012
20/06/2012,HE01893,HE01893-1,69,6:43:00 AM,n_a,1,0,0,6,0,0,0,6,0,6:53:00 AM,0,No,2 RESQ counter-rattling w/in 50m in time 1.  Heard a CONI while walking to site through SB6 (~250-300m from Heli_18_43R at B=129 degrees ). At CONI location habitat was SB6- had PJ and raised hummocks w/ cladina and dry forbs/open exposed areas. Heard an,69,31/07/2012
20/06/2012,HE01894,HE01894-1,69,8:23:00 AM,n_a,1,0,0,15,2,1,0,15,2,8:33:00 AM,0,No,"PC moved from lake to graminoid dominated MA/FN3 transition on west edge of lake.  Nesting RWBL, LEYE, BOGU, and CHSP at PC site.  LEYE pair excited calling throughout PC.  Wind code is 0-1 (gusts to 2).",69,31/07/2012
21/06/2012,HE02108,HE02108-1,69,6:30:00 AM,n_a,1,0,0,11,0,0,0,11,0,6:40:00 AM,0,No,,69,31/07/2012
21/06/2012,HE02127,HE02127-1,65,7:44:00 AM,n_a,1,1,0,12,0,1,0,12,0,7:54:00 AM,0,No,,65,31/07/2012
21/06/2012,HE02128,HE02128-1,65,8:17:00 AM,n_a,1,0,0,14,0,1,0,14,0,8:27:00 AM,0,No,Wind code is 0-1.,65,31/07/2012
21/06/2012,HE02132,HE02132-1,98,6:25:00 AM,n_a,1,1,0,8,0,1,0,8,0,6:35:00 AM,0,No,AMKE mobbed by 2 NOFL after,98,31/07/2012
21/06/2012,HE02140,HE02140-1,98,5:31:00 AM,n_a,1,0,0,3,0,0,0,3,0,5:41:00 AM,0,No,3 RESQ,98,31/07/2012
21/06/2012,HE02142,HE02142-1,65,5:54:00 AM,n_a,1,0,0,4,0,0,0,4,0,6:04:00 AM,0,No,CAWA in playback was the same bird in the point count.    Very agitated by playback.  CAWA was both heard singing and observed during playback.  RESQ w/in 50m.,65,31/07/2012
21/06/2012,HE02171,HE02171-1,98,7:46:00 AM,n_a,1,0,0,9,0,0,0,9,0,7:56:00 AM,0,No,,98,31/07/2012
21/06/2012,HE02172,HE02172-1,98,8:30:00 AM,n_a,1,1,0,16,0,1,0,16,0,8:40:00 AM,0,No,RBGR sing after,98,31/07/2012
21/06/2012,HE02173,HE02173-1,98,9:39:00 AM,n_a,1,2,0,17,0,2,0,17,0,9:49:00 AM,0,No,MAWA sing after,98,31/07/2012
21/06/2012,HE02174,HE02174-1,98,9:12:00 AM,n_a,1,1,0,17,0,1,0,17,0,9:22:00 AM,0,No,,98,31/07/2012
21/06/2012,HE02175,HE02175-1,98,7:08:00 AM,n_a,1,0,0,8,0,0,0,8,0,7:18:00 AM,0,No,,98,31/07/2012
21/06/2012,HE02181,HE02181-1,65,5:21:00 AM,n_a,1,0,0,0,0,0,0,0,0,5:31:00 AM,0,No,,65,31/07/2012
21/06/2012,HE02182,HE02182-1,65,6:48:00 AM,n_a,1,0,0,8,0,0,0,8,0,6:58:00 AM,0,No,,65,31/07/2012
21/06/2012,HE02183,HE02183-1,65,8:54:00 AM,n_a,1,2,0,14,0,2,0,14,0,9:04:00 AM,0,No,RESQ observed w/in 50m during time 3.,65,31/07/2012
21/06/2012,HE02184,HE02184-1,65,9:28:00 AM,n_a,1,1,0,18,0,1,0,18,0,9:38:00 AM,0,No,,65,31/07/2012
21/06/2012,HE02191,HE02191-1,69,6:04:00 AM,n_a,1,0,0,3,0,0,0,3,0,6:14:00 AM,0,No,,69,31/07/2012
21/06/2012,HE02192,HE02192-1,69,7:05:00 AM,n_a,1,0,0,10,0,0,0,10,0,7:15:00 AM,0,No,Noise code is 1-2 (compressor station).,69,31/07/2012
21/06/2012,HE02193,HE02193-1,69,7:32:00 AM,n_a,1,0,0,21,0,0,0,21,0,7:42:00 AM,0,No,Difficult to hear other birds due to constant loud calling of LEYE. Noise code is 1-2 (LEYE calling loudly/ compressor station or industrial area near by).,69,31/07/2012
21/06/2012,HE02194,HE02194-1,69,8:02:00 AM,n_a,1,0,0,18,0,0,0,18,0,8:12:00 AM,0,No,,69,31/07/2012
21/06/2012,HE02195,HE02195-1,69,5:27:00 AM,n_a,1,0,0,3,0,0,0,3,0,5:37:00 AM,0,No,PC at edge of small 25m by 25m well site in Buo SB bog.,69,31/07/2012
21/06/2012,HE02196,HE02196-1,69,8:29:00 AM,n_a,1,0,0,14,0,0,0,14,0,8:39:00 AM,1,No,Small remnant patch of SW7/MWw7 in large harvest unit.  Adjacent DCm7 has been harvested.  Stream running through PC area.  1 RESQ w/in 50m in time 3.  Noise code 2 is due to stream noise.,69,31/07/2012
24/06/2012,HE02211,HE02211-1,98,5:50:00 AM,n_a,1,1,0,10,0,1,0,10,0,6:00:00 AM,0,No,,98,31/07/2012
24/06/2012,HE02212,HE02212-1,98,5:21:00 AM,n_a,1,0,0,5,0,0,0,5,0,5:31:00 AM,0,No,1 RESQ,98,31/07/2012
24/06/2012,HE02216,HE02216-1,98,8:27:00 AM,n_a,1,3,0,16,2,3,0,16,2,8:37:00 AM,1,No,,98,31/07/2012
24/06/2012,HE02217,HE02217-1,69,8:49:00 AM,n_a,1,1,0,18,2,2,0,18,2,8:59:00 AM,0,No,Wind code is 1-2.,69,31/07/2012
