Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
HE01044,HE010,NAD83,No,n_a,n_a,n_a,-110.361117,56.885021,GIS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01071,HE010,NAD83,No,n_a,n_a,n_a,-110.319823,56.87833,GPS,point,98,TRUE,25/06/2012,Heli,,,,,
HE01081,HE010,NAD83,No,n_a,n_a,n_a,-110.378233,56.889265,GPS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01082,HE010,NAD83,No,n_a,n_a,n_a,-110.366548,56.898641,GPS,point,65,TRUE,25/06/2012,Heli,,,,,
HE01091,HE010,NAD83,No,n_a,n_a,n_a,-110.311708,56.895332,GPS,point,69,TRUE,25/06/2012,Heli,,,,,
HE01092,HE010,NAD83,No,n_a,n_a,n_a,-110.316965,56.900217,GPS,point,69,TRUE,25/06/2012,Heli,,,,,
HE01093,HE010,NAD83,No,n_a,n_a,n_a,-110.333233,56.899037,GPS,point,69,TRUE,25/06/2012,Heli,,,,,
HE01101,HE011,NAD83,No,n_a,n_a,n_a,-113.017558,56.731229,GIS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01104,HE011,NAD83,No,n_a,n_a,n_a,-112.995147,56.722502,GIS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01112,HE011,NAD83,No,n_a,n_a,n_a,-113.007464,56.720515,GIS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01113,HE011,NAD83,No,n_a,n_a,n_a,-112.998701,56.726009,GIS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01115,HE011,NAD83,No,n_a,n_a,n_a,-113.012948,56.735703,GIS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01116,HE011,NAD83,No,n_a,n_a,n_a,-113.003168,56.737124,GIS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01117,HE011,NAD83,No,n_a,n_a,n_a,-113.02583,56.732452,GIS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01119,HE011,NAD83,No,n_a,n_a,n_a,-113.028803,56.712215,GIS,point,98,TRUE,15/06/2012,Heli,,,,,
HE01120,HE011,NAD83,No,n_a,n_a,n_a,-113.023366,56.714307,GIS,point,98,TRUE,15/06/2012,Heli,,,,,
HE01121,HE011,NAD83,No,n_a,n_a,n_a,-113.01408,56.719419,GIS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01129,HE011,NAD83,No,n_a,n_a,n_a,-113.025816,56.704054,GIS,point,98,TRUE,15/06/2012,Heli,,,,,
HE01130,HE011,NAD83,No,n_a,n_a,n_a,-113.032108,56.703853,GIS,point,98,TRUE,15/06/2012,Heli,,,,,
HE01132,HE011,NAD83,No,n_a,n_a,n_a,-113.033047,56.709427,GIS,point,98,TRUE,15/06/2012,Heli,,,,,
HE01143,HE011,NAD83,No,n_a,n_a,n_a,-112.992862,56.7281,GIS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01144,HE011,NAD83,No,n_a,n_a,n_a,-113.035241,56.727773,GIS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01145,HE011,NAD83,No,n_a,n_a,n_a,-113.042337,56.728888,GIS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01146,HE011,NAD83,No,n_a,n_a,n_a,-113.048516,56.731452,GIS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01171,HE011,NAD83,No,n_a,n_a,n_a,-113.049374,56.72498,GPS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01172,HE011,NAD83,No,n_a,n_a,n_a,-113.045012,56.726973,GPS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01173,HE011,NAD83,No,n_a,n_a,n_a,-113.046861,56.737816,GPS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01174,HE011,NAD83,No,n_a,n_a,n_a,-113.041158,56.73803,GPS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01175,HE011,NAD83,No,n_a,n_a,n_a,-113.039653,56.741379,GPS,point,98,TRUE,16/06/2012,Heli,,,,,
HE01181,HE011,NAD83,No,n_a,n_a,n_a,-113.026749,56.737257,GPS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01182,HE011,NAD83,No,n_a,n_a,n_a,-113.018239,56.737885,GPS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01183,HE011,NAD83,No,n_a,n_a,n_a,-113.006936,56.734457,GPS,point,65,TRUE,16/06/2012,Heli,,,,,
HE01184,HE011,NAD83,No,n_a,n_a,n_a,-113.002101,56.722989,GPS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01185,HE011,NAD83,No,n_a,n_a,n_a,-113.000329,56.717101,GPS,point,65,TRUE,15/06/2012,Heli,,,,,
HE01301,HE013,NAD83,No,n_a,n_a,n_a,-112.282986,56.637805,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01304,HE013,NAD83,No,n_a,n_a,n_a,-112.343265,56.645755,GIS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01315,HE013,NAD83,No,n_a,n_a,n_a,-112.272234,56.686401,GIS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01317,HE013,NAD83,No,n_a,n_a,n_a,-112.267964,56.647955,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01326,HE013,NAD83,No,n_a,n_a,n_a,-112.286147,56.677021,GIS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01329,HE013,NAD83,No,n_a,n_a,n_a,-112.30879,56.693963,GIS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01336,HE013,NAD83,No,n_a,n_a,n_a,-112.282221,56.634142,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01337,HE013,NAD83,No,n_a,n_a,n_a,-112.297035,56.636595,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01340,HE013,NAD83,No,n_a,n_a,n_a,-112.296955,56.693254,GIS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01346,HE013,NAD83,No,n_a,n_a,n_a,-112.271141,56.643305,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01347,HE013,NAD83,No,n_a,n_a,n_a,-112.277161,56.641299,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01348,HE013,NAD83,No,n_a,n_a,n_a,-112.28155,56.674256,GIS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01351,HE013,NAD83,No,n_a,n_a,n_a,-112.274959,56.638014,GIS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01360,HE013,NAD83,No,n_a,n_a,n_a,-112.353644,56.633354,GIS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01371,HE013,NAD83,No,n_a,n_a,n_a,-112.292286,56.692795,GPS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01372,HE013,NAD83,No,n_a,n_a,n_a,-112.347807,56.644416,GPS,point,98,TRUE,29/06/2012,Heli,,,,,
HE01381,HE013,NAD83,No,n_a,n_a,n_a,-112.292481,56.633185,GPS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01382,HE013,NAD83,No,n_a,n_a,n_a,-112.290587,56.627749,GPS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01383,HE013,NAD83,No,n_a,n_a,n_a,-112.296205,56.642483,GPS,point,65,TRUE,29/06/2012,Heli,,,,,
HE01391,HE013,NAD83,No,n_a,n_a,n_a,-112.279237,56.6721,GPS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01392,HE013,NAD83,No,n_a,n_a,n_a,-112.309329,56.657881,GPS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01393,HE013,NAD83,No,n_a,n_a,n_a,-112.281903,56.670235,GPS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01394,HE013,NAD83,No,n_a,n_a,n_a,-112.316564,56.660283,GPS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01395,HE013,NAD83,No,n_a,n_a,n_a,-112.326213,56.654848,GPS,point,69,TRUE,29/06/2012,Heli,,,,,
HE01510,HE015,NAD83,No,n_a,n_a,n_a,-110.32744,56.749182,GIS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01518,HE015,NAD83,No,n_a,n_a,n_a,-110.384425,56.762108,GIS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01525,HE015,NAD83,No,n_a,n_a,n_a,-110.33643,56.755915,GIS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01527,HE015,NAD83,No,n_a,n_a,n_a,-110.39021,56.752993,GIS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01530,HE015,NAD83,No,n_a,n_a,n_a,-110.392688,56.758192,GIS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01536,HE015,NAD83,No,n_a,n_a,n_a,-110.371763,56.733379,GIS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01537,HE015,NAD83,No,n_a,n_a,n_a,-110.366331,56.728748,GIS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01545,HE015,NAD83,No,n_a,n_a,n_a,-110.366135,56.764493,GIS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01546,HE015,NAD83,No,n_a,n_a,n_a,-110.355627,56.75972,GIS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01547,HE015,NAD83,No,n_a,n_a,n_a,-110.364471,56.73443,GIS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01548,HE015,NAD83,No,n_a,n_a,n_a,-110.374435,56.725276,GIS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01571,HE015,NAD83,No,n_a,n_a,n_a,-110.361629,56.754615,GPS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01572,HE015,NAD83,No,n_a,n_a,n_a,-110.370961,56.750669,GPS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01573,HE015,NAD83,No,n_a,n_a,n_a,-110.332111,56.753007,GPS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01574,HE015,NAD83,No,n_a,n_a,n_a,-110.337557,56.759686,GPS,point,98,TRUE,26/06/2012,Heli,,,,,
HE01581,HE015,NAD83,No,n_a,n_a,n_a,-110.374603,56.737855,GPS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01582,HE015,NAD83,No,n_a,n_a,n_a,-110.375028,56.718433,GPS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01583,HE015,NAD83,No,n_a,n_a,n_a,-110.379502,56.719319,GPS,point,65,TRUE,26/06/2012,Heli,,,,,
HE01591,HE015,NAD83,No,n_a,n_a,n_a,-110.373992,56.764111,GPS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01592,HE015,NAD83,No,n_a,n_a,n_a,-110.388516,56.76033,GPS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01593,HE015,NAD83,No,n_a,n_a,n_a,-110.367526,56.756403,GPS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01594,HE015,NAD83,No,n_a,n_a,n_a,-110.385954,56.745964,GPS,point,69,TRUE,26/06/2012,Heli,,,,,
HE01803,HE018,NAD83,No,n_a,n_a,n_a,-110.298416,56.615929,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01807,HE018,NAD83,No,n_a,n_a,n_a,-110.254484,56.627124,GIS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01809,HE018,NAD83,No,n_a,n_a,n_a,-110.250314,56.630402,GIS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01815,HE018,NAD83,No,n_a,n_a,n_a,-110.289264,56.631105,GIS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01820,HE018,NAD83,No,n_a,n_a,n_a,-110.275401,56.638438,GIS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01821,HE018,NAD83,No,n_a,n_a,n_a,-110.272251,56.645007,GIS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01824,HE018,NAD83,No,n_a,n_a,n_a,-110.293511,56.618948,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01829,HE018,NAD83,No,n_a,n_a,n_a,-110.294987,56.611981,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01830,HE018,NAD83,No,n_a,n_a,n_a,-110.294205,56.63447,GIS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01831,HE018,NAD83,No,n_a,n_a,n_a,-110.283267,56.61031,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01832,HE018,NAD83,No,n_a,n_a,n_a,-110.288162,56.607541,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01835,HE018,NAD83,No,n_a,n_a,n_a,-110.281775,56.602839,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01837,HE018,NAD83,No,n_a,n_a,n_a,-110.282426,56.597625,GIS,point,65,TRUE,20/06/2012,Heli,,,,,
HE01851,HE018,NAD83,No,n_a,n_a,n_a,-110.258988,56.626892,GIS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01871,HE018,NAD83,No,n_a,n_a,n_a,-110.279553,56.636728,GPS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01872,HE018,NAD83,No,n_a,n_a,n_a,-110.277311,56.641593,GPS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01873,HE018,NAD83,No,n_a,n_a,n_a,-110.283814,56.629761,GPS,point,98,TRUE,20/06/2012,Heli,,,,,
HE01891,HE018,NAD83,No,n_a,n_a,n_a,-110.249496,56.623789,GPS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01892,HE018,NAD83,No,n_a,n_a,n_a,-110.237721,56.620599,GPS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01893,HE018,NAD83,No,n_a,n_a,n_a,-110.247886,56.626297,GPS,point,69,TRUE,20/06/2012,Heli,,,,,
HE01894,HE018,NAD83,No,n_a,n_a,n_a,-110.244808,56.620937,GPS,point,69,TRUE,20/06/2012,Heli,,,,,
HE02108,HE021,NAD83,No,n_a,n_a,n_a,-112.486433,56.099919,GIS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02127,HE021,NAD83,No,n_a,n_a,n_a,-112.47215,56.134576,GIS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02128,HE021,NAD83,No,n_a,n_a,n_a,-112.465961,56.135401,GIS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02132,HE021,NAD83,No,n_a,n_a,n_a,-112.528061,56.123717,GIS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02140,HE021,NAD83,No,n_a,n_a,n_a,-112.479868,56.099801,GIS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02142,HE021,NAD83,No,n_a,n_a,n_a,-112.463863,56.125287,GIS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02171,HE021,NAD83,No,n_a,n_a,n_a,-112.536461,56.117485,GPS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02172,HE021,NAD83,No,n_a,n_a,n_a,-112.536843,56.114022,GPS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02173,HE021,NAD83,No,n_a,n_a,n_a,-112.54124,56.108166,GPS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02174,HE021,NAD83,No,n_a,n_a,n_a,-112.540991,56.110512,GPS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02175,HE021,NAD83,No,n_a,n_a,n_a,-112.530685,56.120562,GIS,point,98,TRUE,21/06/2012,Heli,,,,,
HE02181,HE021,NAD83,No,n_a,n_a,n_a,-112.465898,56.128286,GPS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02182,HE021,NAD83,No,n_a,n_a,n_a,-112.460086,56.128526,GPS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02183,HE021,NAD83,No,n_a,n_a,n_a,-112.461377,56.138264,GPS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02184,HE021,NAD83,No,n_a,n_a,n_a,-112.469025,56.1395,GPS,point,65,TRUE,21/06/2012,Heli,,,,,
HE02191,HE021,NAD83,No,n_a,n_a,n_a,-112.487909,56.096906,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02192,HE021,NAD83,No,n_a,n_a,n_a,-112.492828,56.100423,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02193,HE021,NAD83,No,n_a,n_a,n_a,-112.497315,56.100693,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02194,HE021,NAD83,No,n_a,n_a,n_a,-112.505659,56.101042,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02195,HE021,NAD83,No,n_a,n_a,n_a,-112.491646,56.095867,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02196,HE021,NAD83,No,n_a,n_a,n_a,-112.510093,56.102608,GPS,point,69,TRUE,21/06/2012,Heli,,,,,
HE02211,HE022,NAD83,No,n_a,n_a,n_a,-111.619574,56.013928,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02212,HE022,NAD83,No,n_a,n_a,n_a,-111.625017,56.009998,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02216,HE022,NAD83,No,n_a,n_a,n_a,-111.598666,56.026358,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02217,HE022,NAD83,No,n_a,n_a,n_a,-111.528913,55.992649,GIS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02222,HE022,NAD83,No,n_a,n_a,n_a,-111.516959,56.00886,GIS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02223,HE022,NAD83,No,n_a,n_a,n_a,-111.536916,56.013328,GIS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02228,HE022,NAD83,No,n_a,n_a,n_a,-111.611724,56.015062,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02229,HE022,NAD83,No,n_a,n_a,n_a,-111.618307,56.018894,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02233,HE022,NAD83,No,n_a,n_a,n_a,-111.602742,56.031222,GIS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02235,HE022,NAD83,No,n_a,n_a,n_a,-111.535311,56.006142,GIS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02236,HE022,NAD83,No,n_a,n_a,n_a,-111.524978,56.002514,GIS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02242,HE022,NAD83,No,n_a,n_a,n_a,-111.515897,56.012854,GIS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02243,HE022,NAD83,No,n_a,n_a,n_a,-111.514356,56.01603,GIS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02244,HE022,NAD83,No,n_a,n_a,n_a,-111.545912,56.017221,GIS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02271,HE022,NAD83,No,n_a,n_a,n_a,-111.609636,56.021749,GPS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02272,HE022,NAD83,No,n_a,n_a,n_a,-111.604711,56.02737,GPS,point,98,TRUE,24/06/2012,Heli,,,,,
HE02281,HE022,NAD83,No,n_a,n_a,n_a,-111.523709,56.012879,GPS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02282,HE022,NAD83,No,n_a,n_a,n_a,-111.530584,56.020394,GPS,point,65,TRUE,24/06/2012,Heli,,,,,
HE02291,HE022,NAD83,No,n_a,n_a,n_a,-111.528335,55.989539,GPS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02292,HE022,NAD83,No,n_a,n_a,n_a,-111.522391,55.995352,GPS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02293,HE022,NAD83,No,n_a,n_a,n_a,-111.523602,55.998108,GPS,point,69,TRUE,24/06/2012,Heli,,,,,
HE02403,HE024,NAD83,No,n_a,n_a,n_a,-111.505701,55.883533,GIS,point,69,TRUE,27/06/2012,Heli,,,,,
HE02404,HE024,NAD83,No,n_a,n_a,n_a,-111.492794,55.881883,GIS,point,69,TRUE,27/06/2012,Heli,,,,,
HE02407,HE024,NAD83,No,n_a,n_a,n_a,-111.492493,55.885223,GIS,point,69,TRUE,27/06/2012,Heli,,,,,
HE02408,HE024,NAD83,No,n_a,n_a,n_a,-111.49436,55.888411,GIS,point,69,TRUE,27/06/2012,Heli,,,,,
HE02410,HE024,NAD83,No,n_a,n_a,n_a,-111.514915,55.913647,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02411,HE024,NAD83,No,n_a,n_a,n_a,-111.506298,55.913545,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02412,HE024,NAD83,No,n_a,n_a,n_a,-111.507426,55.917923,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02416,HE024,NAD83,No,n_a,n_a,n_a,-111.497492,55.891635,GIS,point,69,TRUE,27/06/2012,Heli,,,,,
HE02432,HE024,NAD83,No,n_a,n_a,n_a,-111.513415,55.91016,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02434,HE024,NAD83,No,n_a,n_a,n_a,-111.573842,55.878397,GIS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02435,HE024,NAD83,No,n_a,n_a,n_a,-111.564922,55.876082,GIS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02436,HE024,NAD83,No,n_a,n_a,n_a,-111.562947,55.884078,GIS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02439,HE024,NAD83,No,n_a,n_a,n_a,-111.499325,55.905648,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02445,HE024,NAD83,No,n_a,n_a,n_a,-111.533308,55.875572,GIS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02446,HE024,NAD83,No,n_a,n_a,n_a,-111.521389,55.876306,GIS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02448,HE024,NAD83,No,n_a,n_a,n_a,-111.500266,55.915212,GIS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02471,HE024,NAD83,No,n_a,n_a,n_a,-111.495978,55.911101,GPS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02472,HE024,NAD83,No,n_a,n_a,n_a,-111.501977,55.908002,GPS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02473,HE024,NAD83,No,n_a,n_a,n_a,-111.505368,55.905588,GPS,point,98,TRUE,27/06/2012,Heli,,,,,
HE02481,HE024,NAD83,No,n_a,n_a,n_a,-111.566596,55.880601,GPS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02482,HE024,NAD83,No,n_a,n_a,n_a,-111.587632,55.877948,GPS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02483,HE024,NAD83,No,n_a,n_a,n_a,-111.598998,55.879702,GPS,point,65,TRUE,27/06/2012,Heli,,,,,
HE02491,HE024,NAD83,No,n_a,n_a,n_a,-111.498982,55.881574,GPS,point,69,TRUE,27/06/2012,Heli,,,,,
HF10001,HF100,NAD83,No,n_a,n_a,n_a,-113.146989,56.447695,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10002,HF100,NAD83,No,n_a,n_a,n_a,-113.14508,56.450639,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10004,HF100,NAD83,No,n_a,n_a,n_a,-113.157605,56.461625,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10005,HF100,NAD83,No,n_a,n_a,n_a,-113.153486,56.459416,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10006,HF100,NAD83,No,n_a,n_a,n_a,-113.142238,56.453344,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10007,HF100,NAD83,No,n_a,n_a,n_a,-113.145384,56.456664,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10008,HF100,NAD83,No,n_a,n_a,n_a,-113.156807,56.465219,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10009,HF100,NAD83,No,n_a,n_a,n_a,-113.139303,56.455794,GIS,point,69,TRUE,02/06/2013,Heli,,,,,
HF10013,HF100,NAD83,No,n_a,n_a,n_a,-113.128286,56.462469,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10014,HF100,NAD83,No,n_a,n_a,n_a,-113.12325,56.460529,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10016,HF100,NAD83,No,n_a,n_a,n_a,-113.115969,56.456483,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10018,HF100,NAD83,No,n_a,n_a,n_a,-113.117569,56.459792,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10019,HF100,NAD83,No,n_a,n_a,n_a,-113.123607,56.464144,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10020,HF100,NAD83,No,n_a,n_a,n_a,-113.115917,56.465093,GIS,point,41,TRUE,02/06/2013,Heli,,,,,
HF10032,HF100,NAD83,No,n_a,n_a,n_a,-113.083394,56.49384,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10033,HF100,NAD83,No,n_a,n_a,n_a,-113.085495,56.496475,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10036,HF100,NAD83,No,n_a,n_a,n_a,-113.069639,56.491445,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10038,HF100,NAD83,No,n_a,n_a,n_a,-113.076568,56.497257,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10040,HF100,NAD83,No,n_a,n_a,n_a,-113.064806,56.493972,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10041,HF100,NAD83,No,n_a,n_a,n_a,-113.076324,56.502482,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10042,HF100,NAD83,No,n_a,n_a,n_a,-113.069921,56.498994,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10048,HF100,NAD83,No,n_a,n_a,n_a,-113.057841,56.505905,GIS,point,86,TRUE,02/06/2013,Heli,,,,,
HF10070,HF100,NAD83,No,n_a,n_a,n_a,-113.14975,56.464454,MAP,point,69,TRUE,02/06/2013,Heli,,,,,
HF10104,HF101,NAD83,No,n_a,n_a,n_a,-112.951756,56.471523,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10105,HF101,NAD83,No,n_a,n_a,n_a,-112.945292,56.469982,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10106,HF101,NAD83,No,n_a,n_a,n_a,-112.935426,56.465243,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10107,HF101,NAD83,No,n_a,n_a,n_a,-112.94471,56.47318,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10109,HF101,NAD83,No,n_a,n_a,n_a,-112.928935,56.466086,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10110,HF101,NAD83,No,n_a,n_a,n_a,-112.930583,56.469624,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10111,HF101,NAD83,No,n_a,n_a,n_a,-112.945179,56.479475,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10112,HF101,NAD83,No,n_a,n_a,n_a,-112.878222,56.442007,GIS,point,65,TRUE,18/06/2013,Heli,,,,,
HF10113,HF101,NAD83,No,n_a,n_a,n_a,-112.939661,56.478267,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10114,HF101,NAD83,No,n_a,n_a,n_a,-112.929042,56.472882,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10115,HF101,NAD83,No,n_a,n_a,n_a,-112.933897,56.476397,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10116,HF101,NAD83,No,n_a,n_a,n_a,-112.942072,56.482368,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
HF10117,HF101,NAD83,No,n_a,n_a,n_a,-112.874593,56.444396,GIS,point,65,TRUE,18/06/2013,Heli,,,,,
HF10118,HF101,NAD83,No,n_a,n_a,n_a,-112.928186,56.476076,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10120,HF101,NAD83,No,n_a,n_a,n_a,-112.922351,56.473034,GIS,point,86,TRUE,18/06/2013,Heli,,,,,
HF10121,HF101,NAD83,No,n_a,n_a,n_a,-112.942667,56.48545,GIS,point,41,TRUE,18/06/2013,Heli,,,,,
