CO20403W-140527-010,CO20403W,CO20403W-1,27/05/2014,7:24:00 AM,n_a,1,87,AMRO,1,3,2,C,S,,A,M,CS,,,,
CO20404G-140527-001,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RCKI,5,1,2,S,,,A,M,CS,,,CS WITH #005,
CO20404G-140527-002,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RBNU,1,2,1,S,,,A,U,,,,,
CO20404G-140527-003,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,MYWA,3,2,2,S,,,A,M,,,,,
CO20404G-140527-004,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RESQ,1,3,3,C,,,A,U,,,,,
CO20404G-140527-005,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RCKI,3,3,2,S,,,A,M,,,,CS WITH #001 & #007,
CO20404G-140527-006,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,HETH,1,3,1,S,,,A,M,,,,,
CO20404G-140527-007,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,CS WITH #005 & #008,
CO20404G-140527-008,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,CS WITH #007,
CO20404G-140527-009,CO20404G,CO20404G-1,41786,0.328472222,n_a,1,26,SCJU,5,4,1,S,,,A,M,,,,,
CO20405G-140527-001,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,AMCR,1,1,3,C,,,A,U,,,,,
CO20405G-140527-002,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,COSN,3,1,2,S,,,A,U,WI,,,,
CO20405G-140527-003,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,RCKI,1,1,1,S,,,A,M,,,,,
CO20405G-140527-004,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,CHSP,1,1,1,C,,,A,U,,,,,
CO20405G-140527-005,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,HETH,1,2,1,S,,,A,M,,,,,
CO20405G-140527-006,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,BHVI,5,2,2,S,,,A,M,,,,,
CO20405G-140527-007,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,HETH,5,2,3,S,,,A,M,,,,,
CO20405G-140527-008,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,GRAJ,3,3,1,C,,,U,U,,,,,
CO20405G-140527-009,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,MAWA,5,3,1,S,,,A,M,,,,,
CO20405G-140527-010,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,UNKN,1,3,1,C,,,U,U,,,,,
CO20405G-140527-011,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,RCKI,1,3,1,S,,,A,M,,,,,
CO20405G-140527-012,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,OVEN,5,4,3,S,,,A,M,,,,,
CO20405G-140527-013,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,COSN,1,4,3,S,,,A,U,WI,,,,
CO20405G-140527-014,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,CORA,5,4,3,C,,,A,U,,,,,
CO20405G-140527-015,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,RBNU,3,4,2,S,,,A,U,,,,,
CO20405G-140527-016,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,MAWA,3,4,1,S,,,A,M,,,,,
CO20405G-140527-017,CO20405G,CO20405G-1,41786,0.395138889,n_a,1,26,GRAJ,1,4,1,C,,,U,U,,,,,
CO20406G-140527-001,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,HETH,5,1,3,S,,,A,M,,,,,
CO20406G-140527-002,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,CORA,5,1,3,C,,,A,U,,,,,
CO20406G-140527-003,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,CHSP,3,1,2,S,,,A,M,,,,,
CO20406G-140527-004,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,CCSP,1,1,2,S,,,A,M,,,,,
CO20406G-140527-005,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,CORA,1,2,1,S,V,,A,U,,,,,
CO20406G-140527-006,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,COSN,1,2,1,S,V,,A,U,WI,,,,
CO20406G-140527-007,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,COSN,1,2,1,S,V,,A,U,WI,,,,
CO20406G-140527-008,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,CORA,3,4,3,C,,,A,U,,,,,
CO20406G-140527-009,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,RCKI,1,4,3,S,,,A,M,CS,,,CS WITH #012,
CO20406G-140527-010,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,OVEN,1,4,3,S,,,A,M,,,,,
CO20406G-140527-011,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,UNKN,5,4,3,S,,,A,U,,,,,HEARD AT 7:20 (RECORDING)
CO20406G-140527-012,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,CS WITH #009,
CO20406G-140527-013,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,WTSP,5,4,2,S,,,A,M,,,,,
CO20406G-140527-014,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,NOFL,3,4,2,C,,,A,U,,,,,
CO20406G-140527-015,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,GRAJ,3,4,2,C,,,U,U,,,,,
CO20406G-140527-016,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,MAWA,1,4,2,S,,,A,M,,,,,
CO20406G-140527-017,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,UNKN,3,4,2,S,,,U,U,,,,,HEARD AT 3:12 (RECORDING)
CO20406G-140527-018,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,HETH,5,4,2,S,,,A,M,,,,,
CO20406G-140527-019,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,LEFL,1,4,1,C,,,A,M,,,,,
CO20406G-140527-020,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,TEWA,1,4,1,S,,,A,M,,,,,
CO20406G-140527-021,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,WIWR,5,4,1,S,,,A,M,,,,,
CO20406G-140527-022,CO20406G,CO20406G-1,41786,0.433333333,n_a,1,26,AMRO,1,4,1,S,,,A,U,,,,,
CO20407G-270514-001,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,YRWA,3,1,1,S,,,A,M,,,,,
CO20407G-270514-002,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,CHSP,1,1,1,S,,,A,M,,,,,
CO20407G-270514-003,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,CORA,1,1,1,C,,,U,U,,,,,JOINED 2ND CORA
CO20407G-270514-004,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,UNWO,1,1,1,C,,,U,U,,,,,
CO20407G-270514-005,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,RCKI,5,1,2,S,,,A,M,,,,,
CO20407G-270514-006,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,UNSA,3,1,2,C,,,U,U,,,,,
CO20407G-270514-007,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,UNSA,3,1,2,C,,,U,U,,,,,
CO20407G-270514-008,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,GRAJ,5,1,2,C,,,U,U,,,,,
CO20407G-270514-009,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,WISN,5,1,3,C,,,A,M,,,,,
CO20407G-270514-010,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,GRAJ,1,2,1,C,V,,U,U,,,,,
CO20407G-270514-011,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,GRAJ,1,2,1,C,V,,U,U,,,,,
CO20407G-270514-012,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,GRAJ,5,2,1,C,,,U,U,,,,,
CO20407G-270514-013,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,GRAJ,5,2,1,C,,,J,U,,,,,
CO20407G-270514-014,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,NOFL,5,2,2,C,,,A,U,,,,,
CO20407G-270514-015,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,CORA,1,2,3,C,,,U,U,,,,,
CO20407G-270514-016,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,HETH,1,2,3,S,,,A,M,,,,,
CO20407G-270514-017,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,WTSP,1,3,3,S,,,A,M,,,,,
CO20407G-270514-018,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,RCKI,1,4,1,S,,,A,M,,,,,
CO20407G-270514-019,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,DEJU,5,4,1,S,,,A,M,,,,,
CO20407G-270514-020,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,CORA,1,4,1,C,,,U,U,,,,,
CO20407G-270514-021,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,AMRO,1,4,2,S,,,A,M,,,,,
CO20407G-270514-022,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,WISN,1,4,3,C,,,A,M,,,,,
CO20407G-270514-023,CO20407G,CO20407G-1,27/05/2014,10:00:00 AM,n_a,1,26,CANG,5,4,3,C,,,A,U,,,,,
CO20408G-140527-001,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,COSN,3,2,3,S,,,A,U,WI,,,,
CO20408G-140527-002,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,AMRO,1,2,3,S,,,A,U,,,,,
CO20408G-140527-003,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,UNSP,5,2,1,C,,,A,U,,,,,
CO20408G-140527-004,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,RCKI,1,3,3,S,,,A,M,,,,,
CO20408G-140527-005,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,RCKI,1,3,1,S,,,A,M,CS,,,CS WITH #007,
CO20408G-140527-006,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,MYWA,5,3,1,S,,,A,M,,,,,
CO20408G-140527-007,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,RCKI,1,4,2,S,,,A,M,CS,,,CS WITH #005,
CO20408G-140527-008,CO20408G,CO20408G-1,41786,0.372222222,n_a,1,26,CHSP,1,4,1,C,,,A,U,,,,,
CO20409G-140527-001,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,RCKI,1,1,3,S,,,A,M,CS,,,CS WITH #009,
CO20409G-140527-002,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,UNKN,3,1,2,S,,,U,U,,,,,
CO20409G-140527-003,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,UNSA,5,1,2,S,,,U,U,,,,,
CO20409G-140527-004,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,CHSP,1,1,1,S,,,A,M,,,,,
CO20409G-140527-005,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,RCKI,1,2,3,S,,,A,M,CS,,,CS WITH #006,
CO20409G-140527-006,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,RCKI,1,2,3,S,,,A,M,CS,,,CS WITH #005,
CO20409G-140527-007,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,GRAJ,5,2,2,C,,,U,U,,,,,
CO20409G-140527-008,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,RCKI,1,3,1,S,,,A,M,CS,,,CS WITH #9,
CO20409G-140527-009,CO20409G,CO20409G-1,41786,0.349305556,n_a,1,26,RCKI,1,4,1,S,,,A,M,CS,,,CS WITH #001 & #008,
CO20601G-140630-001,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,RCKI,1,1,3,S,,,A,M,,,,,
CO20601G-140630-002,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,RESQ,1,1,2,C,,,A,U,,,,,
CO20601G-140630-003,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,DEJU,5,1,1,S,,,A,M,,,,,
CO20601G-140630-004,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,UNSP,1,1,1,C,,,A,U,,,,,~1:08 IN RECORDING
CO20601G-140630-005,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,DEJU,1,2,1,S,,,A,M,,,,,
CO20601G-140630-006,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,WISN,5,3,2,S,,,A,U,WI,,,,
CO20601G-140630-007,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,PAWA,1,4,1,S,,,A,M,,,,,
CO20601G-140630-008,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,YRWA,5,4,1,S,,,A,M,,,,,
CO20601G-140630-009,CO20601G,CO20601G-1,30/06/2014,6:57:00 AM,n_a,1,26,UNSP,1,4,1,C,,,A,U,,,,,~ 1:17 IN RECORDING (HIGH PITCHED)
CO20602G-140630-001,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,CORA,1,1,3,C,,,A,U,,,,,
CO20602G-140630-002,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,DEJU,1,1,2,S,,,A,M,,,,,
CO20602G-140630-003,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,RESQ,5,2,2,C,,,A,U,,,,,
CO20602G-140630-004,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,YRWA,5,2,1,S,,,A,M,,,,,
CO20602G-140630-005,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,UNSA,5,4,2,c,,,A,U,,,,,~9:35 IN RECORDING
CO20602G-140630-006,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,UNKN,5,4,1,C,,,A,U,FO,,,,~6:02 IN RECORDING - HARSH TONE
CO20602G-140630-007,CO20602G,CO20602G-1,30/06/2014,6:24:00 AM,n_a,1,26,UNSP,5,4,1,C,,,A,U,,,,,~5:40 IN RECORDING 
CO20603G-140630-001,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,CHSP,3,1,2,S,,,A,M,,,,,
CO20603G-140630-002,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,GRAJ,1,1,2,V,C,,A,U,,,,,
CO20603G-140630-003,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,GRAJ,5,1,2,V,C,,J,U,,,,,
CO20603G-140630-004,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,DEJU,5,2,2,S,,,A,M,,,,,
CO20603G-140630-005,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,YRWA,1,2,1,S,,,A,M,CS,,,,
CO20603G-140630-006,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,UNKN,1,2,1,C,,,A,U,,,,,~0:43 IN RECORDING
CO20603G-140630-007,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,RCKI,1,4,3,S,,,A,M,,,,,
CO20603G-140630-008,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,YRWA,1,4,2,S,,,A,M,CS,,,,
CO20603G-140630-009,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,DEJU,5,4,1,S,,,A,M,,,,,
CO20603G-140630-010,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,YRWA,1,4,1,S,,,A,M,CS,,,,
CO20603G-140630-011,CO20603G,CO20603G-1,30/06/2014,5:52:00 AM,n_a,1,26,CHSP,1,4,1,S,,,A,M,,,,,
CO20604G-140630-001,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,BOCH,1,1,1,C,,,A,U,,,,,
CO20604G-140630-002,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,HETH,5,3,2,S,,,A,M,CS,,,,
CO20604G-140630-003,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,YRWA,5,3,1,S,,,A,M,,,,,
CO20604G-140630-004,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,UNKN,3,3,1,C,,,A,U,,,,,~3:25 IN RECORDING 
CO20604G-140630-005,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,HETH,1,4,1,S,C,,A,M,CS,,,,
CO20604G-140630-006,CO20604G,CO20604G-1,30/06/2014,5:25:00 AM,n_a,1,26,DEJU,1,4,1,S,,,A,M,,,,,
CO20605G-140630-001,CO20605G,CO20605G-1,30/06/2014,8:51:00 AM,n_a,1,26,UNKN,5,1,1,C,,,A,U,,,,,~6:17 IN RECORDING - RCKI?
CO20605G-140630-002,CO20605G,CO20605G-1,30/06/2014,8:51:00 AM,n_a,1,26,RCKI,1,2,3,S,,,A,M,,,,,
CO20605G-140630-003,CO20605G,CO20605G-1,30/06/2014,8:51:00 AM,n_a,1,26,WIWR,1,2,3,S,,,A,M,,,,,
CO20605G-140630-004,CO20605G,CO20605G-1,30/06/2014,8:51:00 AM,n_a,1,26,UNKN,5,4,2,C,,,U,U,,,,,~5:43 IN RECORDING - GRAJ?
CO20605G-140630-005,CO20605G,CO20605G-1,30/06/2014,8:51:00 AM,n_a,1,26,YRWA,5,4,1,S,,,A,M,,,,,
CO20605N-140630-001,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,UNKN,1,1,1,C,,,U,U,,,,,
CO20605N-140630-002,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,PAWA,5,1,1,S,,,A,M,CS,,,,
CO20605N-140630-003,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,UNKN,5,1,1,C,,,U,U,,,,,
CO20605N-140630-004,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,CMWA,5,2,1,S,,,A,M,,,,,
CO20605N-140630-005,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,PAWA,1,3,1,S,,,A,M,CS,,,,
CO20605N-140630-006,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,RCKI,1,3,1,S,,,A,M,,,,,
CO20605N-140630-007,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,PAWA,1,4,1,S,,,A,M,CS,,,,
CO20605N-140630-008,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,LISP,5,4,1,S,,,A,M,,,,,
CO20605N-140630-009,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,UNYE,1,4,2,C,,,A,U,,,,,
CO20605N-140630-010,CO20605N,CO20605N-1,30/06/2014,9:31:00 AM,n_a,1,87,CORA,1,4,3,C,,,A,U,FO,,,Flew South then East.,
CO20605P-140630-001,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,LISP,5,1,1,C,,,U,U,,,,,
CO20605P-140630-002,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,ALFL,1,1,2,S,,,A,M,CS,,,,
CO20605P-140630-003,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,PAWA,1,1,2,S,,,A,M,CS,,,,
CO20605P-140630-004,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,ALFL,1,1,3,S,,,A,M,CS,,,,
CO20605P-140630-005,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,PAWA,1,2,2,S,,,A,M,CS,,,,
CO20605P-140630-006,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,UNYE,1,2,3,C,,,A,U,,,,,
CO20605P-140630-007,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,LISP,1,3,2,S,,,A,M,,,,,
CO20605P-140630-008,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,PAWA,1,3,2,S,,,A,M,CS,,,,
CO20605P-140630-009,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,PAWA,3,3,2,S,,,A,M,CS,,,,
CO20605P-140630-010,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,LISP,5,4,1,S,,,A,M,,,,Possibly paired with 11?,
CO20605P-140630-011,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,LISP,5,4,1,C,,,A,U,,,,Possibly paired with 10?,
CO20605P-140630-012,CO20605P,CO20605P-1,30/06/2014,8:38:00 AM,n_a,1,87,UNSB,1,4,2,C,,,A,U,,,,,SOSA?
CO20606G-140630-001,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,RCKI,1,1,3,S,,,A,M,,,,,
CO20606G-140630-002,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,HETH,1,1,2,S,,,A,M,,,,,
CO20606G-140630-003,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,GRAJ,1,3,1,V,C,,A,U,,,,,
CO20606G-140630-004,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,GRAJ,1,3,1,V,C,,A,U,,,,,
CO20606G-140630-005,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,UNKN,3,3,1,C,,,A,U,,,,,~3:11 IN RECORDING - HIGH PITCHED
CO20606G-140630-006,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,GCKI,1,4,2,S,,,A,M,,,,,
CO20606G-140630-007,CO20606G,CO20606G-1,30/06/2014,7:32:00 AM,n_a,1,26,DEJU,1,4,1,S,,,A,M,,,,,
CO20606N-140630-001,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,UNKN,1,1,1,C,,,A,U,DC,,,,
CO20606N-140630-002,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,PAWA,1,1,1,S,,,A,M,,,,,
CO20606N-140630-003,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,LISP,1,1,2,S,,,A,M,CS,,,,
CO20606N-140630-004,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,LISP,1,2,1,S,,,A,M,CS,,,,
CO20606N-140630-005,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,WISN,3,3,2,C,,,A,U,,,,,"* Recorded on datasheet as"" UNKN, LEYE?"" "
CO20606N-140630-006,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,LISP,1,3,2,S,,,A,M,CS,,,,
CO20606N-140630-007,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,LISP,1,4,1,S,,,A,M,CS,,,,
CO20606N-140630-008,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,GRAJ,1,4,2,C,,,U,U,,,,,
CO20606N-140630-009,CO20606N,CO20606N-1,30/06/2014,6:15:00 AM,n_a,1,87,LISP,1,3,1,S,,,A,M,CS,,,,
CO20606P-140630-001,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,LCSP,1,1,1,S,,,A,M,CS,,,,
CO20606P-140630-002,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,LISP,1,1,1,S,,,A,M,,,,,
CO20606P-140630-003,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,PAWA,3,1,1,S,,,A,M,CS,,,,
CO20606P-140630-004,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,YRWA,1,1,2,S,,,A,M,,,,,
CO20606P-140630-005,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,LISP,5,2,1,S,,,A,M,CS,,,,
CO20606P-140630-006,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,UNYE,5,2,1,S,V,,A,U,,,,Flew East,
CO20606P-140630-007,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,PAWA,5,2,1,S,,,A,M,CS,,,,
CO20606P-140630-008,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,SACR,1,2,3,C,,,A,U,,,,,
CO20606P-140630-009,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,PAWA,1,3,1,S,,,A,M,CS,,,,
CO20606P-140630-010,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,GRAJ,1,3,1,C,,,U,U,,,,Moved East,
CO20606P-140630-011,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,DEJU,1,3,1,S,,,A,M,,,,,
CO20606P-140630-012,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,WISN,1,3,2,S,,,A,U,WI,,,,
CO20606P-140630-013,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,LCSP,1,4,1,S,,,A,M,CS,,,,
CO20606P-140630-014,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,PAWA,1,4,1,S,,,A,M,CS,,,,
CO20606P-140630-015,CO20606P,CO20606P-1,30/06/2014,5:14:00 AM,n_a,1,87,UNYE,5,4,2,S,,,A,M,,,,,
CO20607G-140630-001,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,AMCR,3,1,3,C,,,A,U,,,,,
CO20607G-140630-002,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,SWSP,5,1,2,S,,,A,M,,,,,
CO20607G-140630-003,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,GRAJ,3,1,2,C,,,U,U,,,,,
CO20607G-140630-004,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,DEJU,1,1,2,S,,,A,M,CS,,,,
CO20607G-140630-005,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,DEJU,1,1,1,S,,,A,M,CS,,,,
CO20607G-140630-006,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,AMCR,5,3,3,C,,,A,U,,,,,
CO20607G-140630-007,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,WIWR,1,4,3,S,,,A,M,,,,,
CO20607G-140630-008,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,DEJU,1,4,2,S,,,A,M,,,,,
CO20607G-140630-009,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,HETH,1,4,2,S,,,A,M,,,,,
CO20607G-140630-010,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,GRAJ,3,4,2,C,,,U,U,,,,,
CO20607G-140630-011,CO20607G,CO20607G-1,30/06/2014,8:09:00 AM,n_a,1,26,WIWA,1,4,1,S,,,A,M,,,,,
